TrialNo,TableDim,Distance,Bounces,Velocity,RunUpD,Start_x,Start_y,V_theta,Occl_x,Occl_y,Occl_theta,End_x,End_y,Sim_theta,Prebounces
1,1200x900,600,0,600,400,1132.51935804,418.638323827,3.05813412518,734.908134181,451.89963262,3.05813412518,136,502,6.19972677877,0
2,1200x900,600,0,600,400,1053.69042602,769.686737642,3.60465130428,696.708946039,591.458729323,3.60465130428,159,323,0.463058650693,0
3,1200x900,600,0,600,400,1175.3695139,60.1073789941,3.64203685482,825.299077857,154.630995959,2.64114845236,298,443,5.78274110595,1
4,1200x900,600,0,600,400,1045.48700433,881.490735723,5.5333875931,1041.82787064,609.575932169,3.89139036767,602,200,0.749797714081,1
5,1200x900,600,0,600,400,1179.38796213,279.004958631,2.8285077459,799.784165242,401.894980137,2.8285077459,228,587,5.97010039949,0
6,1200x900,600,0,600,400,895.58443565,69.0630900387,3.96655525575,624.829245826,247.552034494,2.31663005143,217,689,5.45822270502,1
7,1200x900,600,0,600,400,1102.00276217,119.378526448,0.564059771924,938.900075647,332.692494395,2.57753288167,431,654,5.71912553526,1
8,1200x900,600,0,600,400,1149.32310521,794.365543637,3.25721564614,752.98718623,748.334691726,3.25721564614,156,679,0.115622992552,0
9,1200x900,600,0,600,400,1187.18424899,104.300848757,3.9670999444,916.588733644,212.329960031,2.31608536278,509,654,5.45767801637,1
10,1200x900,600,0,600,400,1031.3802838,180.784617672,0.323846419592,969.759084934,307.752555221,2.817746234,400,499,5.95933888759,1
11,1200x900,600,0,600,400,1032.7710008,445.997183073,0.225919731951,957.72768655,535.374307027,2.91567292164,372,670,6.05726557523,1
12,1200x900,600,0,600,400,1122.43519077,789.806555726,5.81215284348,900.551234883,608.737739991,3.61262511729,365,336,0.471032463701,1
13,1200x900,600,0,600,400,974.748762586,833.746233663,2.31685379399,703.928006314,652.356705698,3.96633151319,296,211,0.8247388596,1
14,1200x900,600,0,600,400,1145.15981363,774.809998721,5.69985089213,900.613029071,555.036809231,3.72492706864,399,224,0.58333441505,1
15,1200x900,600,0,600,400,1053.0579604,873.867741708,5.73414627192,985.668873822,665.642512767,3.69063168884,473,352,0.549039035255,1
16,1200x900,600,0,600,400,1182.05066257,798.882762289,2.65739916256,828.915448204,793.762320483,3.62578614462,297,514,0.484193491034,1
17,1200x900,600,0,600,400,1022.58736953,198.58981055,0.30197894952,975.804629363,317.256476141,2.83961370407,402,496,5.98120635766,1
18,1200x900,600,0,600,400,1003.32204808,534.650329547,6.06480331383,986.72581051,448.206848058,3.35997464694,400,318,0.218381993347,1
19,1200x900,600,0,600,400,1170.68334385,219.807570729,2.65661066032,817.694689655,405.818350008,2.65661066032,286,686,5.79820331391,0
20,1200x900,600,0,600,400,1043.30483263,21.9980162505,3.7163857007,708.42220441,218.259675433,2.56679960648,204,545,5.70839226007,1
21,1200x900,600,0,600,400,1091.51972037,608.100765247,6.05613885278,899.575629,518.285559913,3.36863910799,314,383,0.2270464544,1
22,1200x900,600,0,600,400,984.084623138,510.350906105,0.0807367781151,997.042276371,542.529894569,3.06085587547,398,591,6.20244852906,1
